Name,Age,City,Score,Hours_Study,Projects,Efficiency,Cluster,Recommendation
Tiffany Burns,16,South Chad,11,4,1,2.75,Low,Не будь слабим. Збільшуй навчання!
Jeffrey Hayden,11,Lesliehaven,6,1,2,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Erica Hill,10,Garyborough,8,2,3,4.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Rebecca Williams,18,Loweborough,2,5,1,0.4,High,Покращувати ефективність
Amanda Dennis,15,Sotostad,3,2,2,1.5,High,Покращувати ефективність
Susan Hansen,12,Toddfort,7,4,2,1.75,Low,Не будь слабим. Збільшуй навчання!
Debbie Wu,17,East Stacy,6,1,3,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
George Shepherd,11,South Abigail,7,5,2,1.4,Low,Не будь слабим. Збільшуй навчання!
Brittany Good,12,Allenton,8,4,2,2.0,Low,Не будь слабим. Збільшуй навчання!
Joseph Velasquez,17,New Ashley,7,3,1,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
David Travis,15,North Heidimouth,8,1,3,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Phillip Lopez,16,North Robert,4,5,1,0.8,High,Покращувати ефективність
Steven Turner,17,New Williamfort,5,1,2,5.0,Medium,Практикуй більше годин
Christopher Bryant,11,Seanland,2,2,1,1.0,High,Покращувати ефективність
Michael Cantu,12,Michaelview,8,3,2,2.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Stephen Garcia,14,Victoriatown,3,4,3,0.75,High,Покращувати ефективність
Sara Keller,17,Robertville,9,5,3,1.8,Low,Не будь слабим. Збільшуй навчання!
Amy Woods,16,Timothyland,2,2,3,1.0,High,Покращувати ефективність
Amber Ali,10,Hawkinsfort,10,4,1,2.5,Low,Не будь слабим. Збільшуй навчання!
Steven Clark,14,West Alyssa,1,2,1,0.5,High,Покращувати ефективність
Cheryl Benton,10,New Nathan,2,5,2,0.4,High,Покращувати ефективність
Gene Carlson,10,North Lisa,1,1,1,1.0,High,Покращувати ефективність
Kenneth Mendez,16,South Joborough,7,5,2,1.4,Low,Не будь слабим. Збільшуй навчання!
Michelle Clark,14,Alexandriashire,10,4,2,2.5,Low,Не будь слабим. Збільшуй навчання!
Mrs. Elizabeth Kane,15,North Justin,11,5,2,2.2,Low,Не будь слабим. Збільшуй навчання!
Jason Howard,16,Port Michelle,2,3,1,0.6666666666666666,High,Покращувати ефективність
Maria Christian,18,East Ronald,11,5,2,2.2,Low,Не будь слабим. Збільшуй навчання!
Jacob Noble,12,East Nicholasport,8,1,2,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Kathleen Martin,11,Dennisborough,7,3,1,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Steven Sullivan,17,Michelleview,4,1,1,4.0,High,Покращувати ефективність
Geoffrey Harding,12,Eddieport,11,1,1,11.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Amanda Jackson,10,Lake Amyfurt,8,1,3,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Travis Anderson,10,Andreport,5,3,1,1.6666666666666667,High,Покращувати ефективність
Mrs. Natasha Thompson,10,Traviston,2,4,2,0.5,High,Покращувати ефективність
Sara Wells,10,East Melaniechester,7,4,1,1.75,Low,Не будь слабим. Збільшуй навчання!
Patrick Johnson,12,East Jenniferside,1,2,2,0.5,High,Покращувати ефективність
Michael Salas,16,Port Carla,10,2,3,5.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Barbara Bernard,11,New Teresaland,6,1,3,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Ruben Davis,13,Lake Robin,12,3,2,4.0,Low,Не будь слабим. Збільшуй навчання!
Ann Johnson,13,New Robertmouth,11,3,1,3.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Angela Alexander,15,Hinesside,11,4,3,2.75,Low,Не будь слабим. Збільшуй навчання!
Joanna Kelley,18,Suzannemouth,12,4,2,3.0,Low,Не будь слабим. Збільшуй навчання!
Brian Frederick,14,Port Christopher,10,3,3,3.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Tonya Griffin,11,West Feliciaport,9,2,2,4.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Jason Mccullough,14,South Robertport,12,5,2,2.4,Low,Не будь слабим. Збільшуй навчання!
Virginia Rivera,10,West Kayla,1,4,1,0.25,High,Покращувати ефективність
Heather Lane,15,Gutierrezfort,11,4,2,2.75,Low,Не будь слабим. Збільшуй навчання!
Christopher Nixon,12,Lake Jonathanton,6,5,1,1.2,Low,Не будь слабим. Збільшуй навчання!
Jill Garrison,10,Lake Wesley,8,1,3,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Alexis Gonzalez,17,West Lynnborough,10,5,2,2.0,Low,Не будь слабим. Збільшуй навчання!
Gregory Heath,18,Port Brian,3,4,2,0.75,High,Покращувати ефективність
Alexis Carter,17,New Joshua,2,4,3,0.5,High,Покращувати ефективність
William Faulkner,11,Stewartstad,1,2,1,0.5,High,Покращувати ефективність
Michelle Moss,16,Forbeston,5,4,2,1.25,High,Покращувати ефективність
Amanda Snyder,12,East Sandrashire,12,4,2,3.0,Low,Не будь слабим. Збільшуй навчання!
Grace Smith,11,Kellyberg,8,3,1,2.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Alison Norman,16,West Kathleen,4,3,1,1.3333333333333333,High,Покращувати ефективність
Larry Thomas,15,Jamieberg,6,3,1,2.0,High,Покращувати ефективність
Brady Martin,10,East Hollystad,3,2,3,1.5,High,Покращувати ефективність
Alexandria Carter,14,Lake Vanessaview,4,4,3,1.0,High,Покращувати ефективність
Tamara Lopez,16,New Jamesfurt,1,3,1,0.3333333333333333,High,Покращувати ефективність
Kathryn Owen,10,Drakestad,10,2,1,5.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Matthew Roman,18,New Tiffany,12,3,3,4.0,Low,Не будь слабим. Збільшуй навчання!
Garrett May,11,South Charlesview,9,2,2,4.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Corey Stephenson,15,Tinamouth,11,2,3,5.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Jennifer Peck,10,Rodriguezside,1,4,3,0.25,High,Покращувати ефективність
Maria Sullivan,12,West Hector,6,1,1,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Colton Roberts,14,Saraburgh,5,2,3,2.5,High,Покращувати ефективність
Ian Gonzalez,12,Mayerland,6,2,2,3.0,High,Покращувати ефективність
Emily Chung,11,Monroechester,2,4,1,0.5,High,Покращувати ефективність
Katie Parker,12,New Savannahville,12,2,2,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Elizabeth Roberts,16,West Angela,12,2,2,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Eric Ramirez,14,New Michael,4,1,2,4.0,High,Покращувати ефективність
Brandi Melton,18,Williamsville,4,3,2,1.3333333333333333,High,Покращувати ефективність
Briana Guerrero,14,Matthewton,8,4,3,2.0,Low,Не будь слабим. Збільшуй навчання!
Courtney Figueroa,18,North Jaredbury,1,2,3,0.5,High,Покращувати ефективність
George Knox,12,Michaelstad,9,4,3,2.25,Low,Не будь слабим. Збільшуй навчання!
Susan Vasquez,12,West Christopherstad,7,1,1,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Meredith Hunt,14,Jacquelineside,12,2,1,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Brian Cannon,15,Romeromouth,1,4,2,0.25,High,Покращувати ефективність
Debra Smith,16,Craigmouth,9,3,2,3.0,Low,Не будь слабим. Збільшуй навчання!
Traci Reyes,12,East Heather,9,2,3,4.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Morgan Castaneda,16,West Kevinstad,7,4,1,1.75,Low,Не будь слабим. Збільшуй навчання!
James Yu,16,West Jennifer,4,4,2,1.0,High,Покращувати ефективність
Jared Griffin,11,West Amy,3,5,1,0.6,High,Покращувати ефективність
Morgan Rogers,14,North Deannaberg,7,1,2,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Christopher Becker,18,North Donald,7,5,2,1.4,Low,Не будь слабим. Збільшуй навчання!
Hannah Aguirre,18,Guzmanhaven,10,2,3,5.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Patricia Vaughn DDS,11,Johnsonfort,4,5,3,0.8,High,Покращувати ефективність
Angela Hess,15,Figueroahaven,7,2,3,3.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Kristine Santiago,10,Markhaven,2,4,1,0.5,High,Покращувати ефективність
Casey Rangel,14,Port Thomasmouth,4,4,1,1.0,High,Покращувати ефективність
Oscar Horne,13,North Bradley,10,1,2,10.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Sharon Martin,16,South Latoyaborough,10,4,2,2.5,Low,Не будь слабим. Збільшуй навчання!
Diane Frazier,17,Port Paul,9,2,3,4.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Steven Mcguire,16,South Amandastad,1,4,2,0.25,High,Покращувати ефективність
David Jackson,18,Wagnerview,9,5,3,1.8,Low,Не будь слабим. Збільшуй навчання!
Yvette Brown,14,Brendaport,4,2,2,2.0,High,Покращувати ефективність
Ryan Hall,10,New Jamesburgh,2,1,1,2.0,High,Покращувати ефективність
Stephanie Gonzales,12,Sophiamouth,1,2,1,0.5,High,Покращувати ефективність
Christopher Davis,18,East Angelashire,6,1,2,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
John Weaver,10,New April,6,3,1,2.0,High,Покращувати ефективність
Laura Wright,13,Leebury,5,1,1,5.0,Medium,Практикуй більше годин
Harold Beck,16,Brianaland,4,2,3,2.0,High,Покращувати ефективність
Kimberly Douglas,17,Shannonshire,4,3,2,1.3333333333333333,High,Покращувати ефективність
Lisa Garcia MD,10,South Amandaland,11,4,1,2.75,Low,Не будь слабим. Збільшуй навчання!
Sarah Howell,12,Carriefort,7,2,1,3.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Tamara White,11,East Wendymouth,12,2,2,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
David Smith,13,Lake Ray,8,5,3,1.6,Low,Не будь слабим. Збільшуй навчання!
Thomas Castro,15,Fieldston,4,3,3,1.3333333333333333,High,Покращувати ефективність
Shelly Sweeney,16,Theresafort,6,1,1,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Miguel Davis,18,Arianaville,7,4,3,1.75,Low,Не будь слабим. Збільшуй навчання!
Matthew Jenkins PhD,13,New Cameron,12,1,1,12.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Lisa Cole,12,Port Williamshire,3,4,3,0.75,High,Покращувати ефективність
Brandy Shaw,10,North Paul,12,2,3,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Raymond Davis,14,South Danielton,8,1,1,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Jim Watts,14,South Scott,2,3,2,0.6666666666666666,High,Покращувати ефективність
April Andrews,13,Lisaport,11,4,2,2.75,Low,Не будь слабим. Збільшуй навчання!
Carrie Green,14,West Marvinborough,11,1,1,11.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Gabrielle Williams,10,Smithshire,9,3,2,3.0,Low,Не будь слабим. Збільшуй навчання!
Philip Sanchez,13,Hartland,7,2,1,3.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Heather Campbell,13,Kingborough,12,5,3,2.4,Low,Не будь слабим. Збільшуй навчання!
Nicole Washington,11,South Trevor,8,5,1,1.6,Low,Не будь слабим. Збільшуй навчання!
John Jones,13,North Daniel,9,2,2,4.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
David Johnson DDS,17,West Mark,3,1,2,3.0,High,Покращувати ефективність
Brandon Smith,11,Markberg,4,3,3,1.3333333333333333,High,Покращувати ефективність
Jillian Reed,18,New Jonathanview,8,3,3,2.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Kayla Ferguson,11,Paulafurt,7,3,1,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Tiffany Taylor,13,Port Andrea,10,1,2,10.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Curtis Castro,15,North Nicholas,6,5,1,1.2,Low,Не будь слабим. Збільшуй навчання!
Andre Coffey,17,Brandiport,2,1,1,2.0,High,Покращувати ефективність
Danny Lawrence,11,South Lauraborough,3,3,3,1.0,High,Покращувати ефективність
Mr. Ronald Day,15,South Kristinaside,6,2,1,3.0,High,Покращувати ефективність
Jason Thomas,10,Tuckerborough,12,5,2,2.4,Low,Не будь слабим. Збільшуй навчання!
Jodi Allen,17,South Laura,8,3,2,2.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Shawn Allen,15,Port Larrychester,4,1,1,4.0,High,Покращувати ефективність
Thomas Herrera,16,Gordonton,4,2,3,2.0,High,Покращувати ефективність
Susan Stuart,17,Valerieton,7,5,1,1.4,Low,Не будь слабим. Збільшуй навчання!
Carol Moran,16,Sharpfort,2,2,2,1.0,High,Покращувати ефективність
Robert Nguyen,14,Rebeccaland,9,3,3,3.0,Low,Не будь слабим. Збільшуй навчання!
Tiffany Davis,11,North Loriview,3,4,2,0.75,High,Покращувати ефективність
Lisa Garner,11,West Keithburgh,2,1,2,2.0,High,Покращувати ефективність
Benjamin Ellis,12,Lake Eric,6,1,1,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Jodi Carr,15,Bridgeshaven,10,1,3,10.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Mark Andrews,15,Jonesmouth,1,1,2,1.0,High,Покращувати ефективність
Michael Robinson,15,New Toddchester,2,4,3,0.5,High,Покращувати ефективність
Gerald Mejia,12,Olsonstad,9,5,1,1.8,Low,Не будь слабим. Збільшуй навчання!
Karen Morgan,13,Lake Douglasborough,4,1,3,4.0,Medium,Практикуй більше годин
Logan Bautista,10,Martinberg,1,5,2,0.2,High,Покращувати ефективність
Matthew Luna,14,East Rebeccafort,8,5,1,1.6,Low,Не будь слабим. Збільшуй навчання!
Sarah Williams,16,Stephenborough,3,5,1,0.6,High,Покращувати ефективність
Heather Howard,16,Johnland,11,4,2,2.75,Low,Не будь слабим. Збільшуй навчання!
Michael Walters DDS,17,Meganmouth,10,1,3,10.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Darrell Hernandez,13,Barbaraview,5,2,3,2.5,High,Покращувати ефективність
Gregory Sandoval,14,Braunview,2,3,1,0.6666666666666666,High,Покращувати ефективність
Teresa Graves,10,Whitneystad,2,1,1,2.0,High,Покращувати ефективність
Patricia Banks,13,Gregoryfurt,8,1,3,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Theresa Morgan,17,Hawkinsland,12,1,3,12.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Carly Smith,15,Rogerberg,1,2,2,0.5,High,Покращувати ефективність
Alexa Myers,16,South Sarah,7,4,3,1.75,Low,Не будь слабим. Збільшуй навчання!
David Daniels,10,Lake Richard,5,5,3,1.0,Low,Не будь слабим. Збільшуй навчання!
Linda Jenkins,15,East Stephanie,12,2,3,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Edwin Williams,10,Lake Michellemouth,7,1,3,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Courtney Scott,17,Port Richardfort,4,3,2,1.3333333333333333,High,Покращувати ефективність
Jimmy Porter,14,New Jasonchester,7,1,2,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Katelyn Cook,15,Elizabethtown,1,2,1,0.5,High,Покращувати ефективність
Javier Rivera,12,Wayneview,5,1,1,5.0,Medium,Практикуй більше годин
Jacqueline Johns,15,Edwardfort,10,4,3,2.5,Low,Не будь слабим. Збільшуй навчання!
Kenneth Garza,16,Nguyenborough,7,3,3,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Lisa Reeves,12,Mooreville,4,4,3,1.0,High,Покращувати ефективність
Travis Allen,16,Martinezborough,11,1,2,11.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Sheri Stevenson,17,Daviesfort,2,5,2,0.4,High,Покращувати ефективність
Samantha Roberts,15,Port Douglashaven,7,1,2,7.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Sean Willis,17,Lake Calvin,3,2,1,1.5,High,Покращувати ефективність
Mia Smith,18,Charlesfort,6,5,1,1.2,Low,Не будь слабим. Збільшуй навчання!
Jennifer Adams,15,Bentonmouth,8,4,1,2.0,Low,Не будь слабим. Збільшуй навчання!
Paul Mosley,12,West Brianport,12,1,1,12.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Kimberly Mason,10,North Jamesborough,3,3,2,1.0,High,Покращувати ефективність
Mr. Connor Robinson,10,Kathyland,11,2,1,5.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Mary Nelson,15,Bellville,4,1,3,4.0,Medium,Практикуй більше годин
Corey Peterson,16,Gonzalezfurt,2,3,2,0.6666666666666666,High,Покращувати ефективність
Richard Valenzuela,14,West Susanport,2,2,1,1.0,High,Покращувати ефективність
Dr. Matthew Carr,15,West Thomasberg,5,4,3,1.25,High,Покращувати ефективність
Ashley Perry,11,Leonardmouth,1,4,3,0.25,High,Покращувати ефективність
Harry Booth,14,Kimmouth,3,4,2,0.75,High,Покращувати ефективність
Spencer Stevenson MD,14,Port Andreaborough,10,1,1,10.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Luis Contreras,14,Scotthaven,8,3,3,2.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Brandon Bryant,11,South Amandaside,8,3,3,2.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Edgar Montoya,14,Millerburgh,4,3,1,1.3333333333333333,High,Покращувати ефективність
Natalie Austin,16,Davidmouth,9,1,1,9.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Marcus Owens,10,Lake Garyland,3,4,1,0.75,High,Покращувати ефективність
Kenneth Moore,10,Stacieville,6,1,1,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Raymond Clarke,17,Stuartfort,3,3,2,1.0,High,Покращувати ефективність
Deborah Harding,11,Kirkmouth,4,3,3,1.3333333333333333,High,Покращувати ефективність
Taylor Frazier,10,Port Jason,8,1,3,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Jeffrey Vasquez,10,Deniseshire,9,2,1,4.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Jamie Johnson,12,Greenburgh,10,3,3,3.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Joseph Taylor,14,Matthewsborough,11,2,3,5.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Bryan Burns,18,North Frankhaven,2,4,2,0.5,High,Покращувати ефективність
Emily Houston MD,10,Pricefurt,2,5,1,0.4,High,Покращувати ефективність
Mr. Walter Wall,15,Joycetown,6,5,2,1.2,Low,Не будь слабим. Збільшуй навчання!
Donna Miller,18,Nicolebury,3,4,2,0.75,High,Покращувати ефективність
Laura Howard,13,Dayfurt,5,3,2,1.6666666666666667,High,Покращувати ефективність
Jason Berry,12,Wyattland,12,2,3,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Stanley Hudson,11,Wilsonfurt,5,4,3,1.25,High,Покращувати ефективність
Lynn Moore,17,Vargasland,10,3,3,3.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Jordan Lawson,10,New Marcus,4,3,2,1.3333333333333333,High,Покращувати ефективність
Katie Beck,18,Lake Julie,1,4,3,0.25,High,Покращувати ефективність
Ryan Watson MD,18,Hillfort,3,2,2,1.5,High,Покращувати ефективність
Michael Houston,11,Salazarside,6,4,2,1.5,Low,Не будь слабим. Збільшуй навчання!
Yvonne Wilson,10,Richardville,11,3,1,3.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
April Lara,13,Port Ashleyview,2,1,1,2.0,High,Покращувати ефективність
Hayley Diaz,16,Port Stephenside,1,2,1,0.5,High,Покращувати ефективність
Morgan Walter,18,Cannonville,2,2,1,1.0,High,Покращувати ефективність
Christopher Martin,15,West Alison,7,2,1,3.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Jessica Hanna,10,Bernardmouth,8,5,1,1.6,Low,Не будь слабим. Збільшуй навчання!
Jordan Hickman,11,New Jennifer,5,5,3,1.0,Low,Не будь слабим. Збільшуй навчання!
Eric Smith,11,South Bailey,1,2,1,0.5,High,Покращувати ефективність
Katelyn Mcmahon,17,Tylermouth,2,2,1,1.0,High,Покращувати ефективність
Briana Cole,17,Matthewbury,4,3,1,1.3333333333333333,High,Покращувати ефективність
David Rodriguez PhD,13,West Vincentville,6,3,1,2.0,High,Покращувати ефективність
Julie Johnson,13,Huberport,3,1,2,3.0,High,Покращувати ефективність
Nicholas Gomez,18,Petersonfort,1,1,1,1.0,High,Покращувати ефективність
Roy Haynes,14,Lake Jeffreyfort,9,3,1,3.0,Low,Не будь слабим. Збільшуй навчання!
Jonathan King,13,New Julia,3,4,2,0.75,High,Покращувати ефективність
Jason Johnson,17,Garciaside,10,4,3,2.5,Low,Не будь слабим. Збільшуй навчання!
Charles Costa,17,Howardshire,9,2,2,4.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Melissa Savage,10,Jacksonchester,11,5,1,2.2,Low,Не будь слабим. Збільшуй навчання!
Andrew Franklin,11,South Ricardoshire,10,3,2,3.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Kristen Green,15,Keithhaven,9,5,1,1.8,Low,Не будь слабим. Збільшуй навчання!
Nicholas Ray,13,Collinside,4,2,2,2.0,High,Покращувати ефективність
Kristin Harrington,15,Lake Karina,7,2,3,3.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Aaron Collins,16,Port Lauren,12,5,3,2.4,Low,Не будь слабим. Збільшуй навчання!
David Smith DVM,13,Port Tammyfurt,2,3,2,0.6666666666666666,High,Покращувати ефективність
Jasmine Henderson,10,Lake Stephaniechester,9,1,2,9.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Erik Robbins,15,Cookberg,2,3,1,0.6666666666666666,High,Покращувати ефективність
Kristina Golden,15,New Angelicamouth,3,2,1,1.5,High,Покращувати ефективність
Elijah Nolan,18,South Robert,6,2,1,3.0,High,Покращувати ефективність
Todd Jackson,18,Sarahfort,6,2,2,3.0,High,Покращувати ефективність
Dennis Cox,14,Rebeccatown,11,5,2,2.2,Low,Не будь слабим. Збільшуй навчання!
Jacob Mcmillan,10,Port Laurabury,3,2,2,1.5,High,Покращувати ефективність
Jason Jackson,13,Lauraville,1,3,3,0.3333333333333333,High,Покращувати ефективність
David Adams,13,Reyestown,10,3,2,3.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Karen Johnson,15,East Julia,4,3,1,1.3333333333333333,High,Покращувати ефективність
Nathan Ortiz,18,Lake Raymond,11,5,3,2.2,Low,Не будь слабим. Збільшуй навчання!
James Knight,18,New Michele,2,4,3,0.5,High,Покращувати ефективність
Michael Obrien,13,North Charles,7,2,3,3.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
Amy Wright,17,Wandabury,5,2,3,2.5,High,Покращувати ефективність
Carolyn Pena,18,Nashtown,6,5,3,1.2,Low,Не будь слабим. Збільшуй навчання!
Jason Johnson,14,North Tracyburgh,8,2,1,4.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Jenna Stewart,14,East Tylerchester,7,4,1,1.75,Low,Не будь слабим. Збільшуй навчання!
Manuel Garcia,17,Lake Angelaberg,9,2,3,4.5,Medium,Майже молодець! Сфокуйсуватись на ефективності
William Taylor,15,Christinastad,11,3,2,3.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Juan Garcia,14,West Kelseyton,10,3,1,3.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Warren Carr,13,New Dylanmouth,4,1,1,4.0,High,Покращувати ефективність
Catherine Alexander,14,Martinezbury,10,3,3,3.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Michael Garcia,16,Danielborough,1,5,1,0.2,High,Покращувати ефективність
Danny Aguilar,17,Hughesland,5,1,1,5.0,Medium,Практикуй більше годин
Timothy Johnson,16,New Gregory,8,2,1,4.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Brian Bright,10,Nicholasmouth,3,2,1,1.5,High,Покращувати ефективність
Larry Hamilton,17,South Alanmouth,4,4,3,1.0,High,Покращувати ефективність
Matthew Gonzalez,16,North Lisa,9,1,2,9.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Erica Perez,13,Ballberg,11,1,3,11.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Caleb Cook,17,South Andrewstad,9,4,2,2.25,Low,Не будь слабим. Збільшуй навчання!
Jason Wallace,14,Port Rebecca,6,5,2,1.2,Low,Не будь слабим. Збільшуй навчання!
Danielle Miller,16,Johnsonport,7,3,2,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Elizabeth Conley,14,Port Christineberg,12,1,1,12.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Melissa Whitney,15,Maryside,3,3,1,1.0,High,Покращувати ефективність
Eric Stevens,13,Smithchester,3,2,2,1.5,High,Покращувати ефективність
Kristy Johnson,18,Port Victortown,7,5,1,1.4,Low,Не будь слабим. Збільшуй навчання!
Thomas Terry,18,Lake Timothyborough,8,1,3,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Crystal Garcia,18,North Victoriaside,12,2,3,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Melissa Henderson,12,Port Dianeburgh,8,3,3,2.6666666666666665,Low,Не будь слабим. Збільшуй навчання!
Lauren Harris,11,New Javier,3,2,3,1.5,High,Покращувати ефективність
Jason Wall,18,North Robert,8,1,2,8.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Scott Ruiz,14,Flemingborough,2,1,1,2.0,High,Покращувати ефективність
William Mccormick,10,New Cameronstad,7,4,1,1.75,Low,Не будь слабим. Збільшуй навчання!
Donald Gamble,16,Port Victorhaven,11,4,3,2.75,Low,Не будь слабим. Збільшуй навчання!
Gregory Beck,18,Lake Logan,12,2,1,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Anthony Klein,17,Deannaside,9,5,3,1.8,Low,Не будь слабим. Збільшуй навчання!
Joshua Stevenson,17,South Lisaport,2,3,2,0.6666666666666666,High,Покращувати ефективність
Sarah Bowen,12,Clairebury,5,1,3,5.0,Medium,Практикуй більше годин
Tyler Gillespie,11,Mcguireview,10,3,1,3.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Mrs. Jenna Franco,18,Medinaborough,3,4,2,0.75,High,Покращувати ефективність
Tonya Graham,15,New Mark,5,4,1,1.25,High,Покращувати ефективність
Anthony Gentry,15,Jamesberg,4,1,1,4.0,High,Покращувати ефективність
Savannah Kelley,10,Normanshire,11,5,2,2.2,Low,Не будь слабим. Збільшуй навчання!
Phillip Strong,13,Smithchester,12,4,3,3.0,Low,Не будь слабим. Збільшуй навчання!
Elizabeth Pierce,12,East Vanessa,7,5,3,1.4,Low,Не будь слабим. Збільшуй навчання!
James Hammond DVM,13,New Jamesstad,10,1,1,10.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Courtney Hicks,15,Riverafurt,6,1,1,6.0,Medium,Майже молодець! Сфокуйсуватись на ефективності
Micheal Baker,17,Shelleyborough,10,4,3,2.5,Low,Не будь слабим. Збільшуй навчання!
Kelly Thompson,18,Kellytown,3,2,1,1.5,High,Покращувати ефективність
Michael Morgan,11,Port Kelly,2,3,3,0.6666666666666666,High,Покращувати ефективність
Debra Gill,16,East Nicholas,7,3,3,2.3333333333333335,Low,Не будь слабим. Збільшуй навчання!
Tammy Terry,15,Port Autumnport,5,1,1,5.0,Medium,Практикуй більше годин
Joe Long,12,Youngberg,1,2,2,0.5,High,Покращувати ефективність
