Name,Age,City,Score,Hours_Study,Projects,Efficiency
Christopher Martin,15,West Alison,7,2,1,3.5
Jessica Hanna,10,Bernardmouth,8,5,1,1.6
Jordan Hickman,11,New Jennifer,5,5,3,1.0
Eric Smith,11,South Bailey,1,2,1,0.5
Katelyn Mcmahon,17,Tylermouth,2,2,1,1.0
Briana Cole,17,Matthewbury,4,3,1,1.3333333333333333
David Rodriguez PhD,13,West Vincentville,6,3,1,2.0
Julie Johnson,13,Huberport,3,1,2,3.0
Nicholas Gomez,18,Petersonfort,1,1,1,1.0
Roy Haynes,14,Lake Jeffreyfort,9,3,1,3.0
Jonathan King,13,New Julia,3,4,2,0.75
Jason Johnson,17,Garciaside,10,4,3,2.5
Charles Costa,17,Howardshire,9,2,2,4.5
Melissa Savage,10,Jacksonchester,11,5,1,2.2
Andrew Franklin,11,South Ricardoshire,10,3,2,3.3333333333333335
Kristen Green,15,Keithhaven,9,5,1,1.8
Nicholas Ray,13,Collinside,4,2,2,2.0
Kristin Harrington,15,Lake Karina,7,2,3,3.5
Aaron Collins,16,Port Lauren,12,5,3,2.4
David Smith DVM,13,Port Tammyfurt,2,3,2,0.6666666666666666
Jasmine Henderson,10,Lake Stephaniechester,9,1,2,9.0
Erik Robbins,15,Cookberg,2,3,1,0.6666666666666666
Kristina Golden,15,New Angelicamouth,3,2,1,1.5
Elijah Nolan,18,South Robert,6,2,1,3.0
Todd Jackson,18,Sarahfort,6,2,2,3.0
Dennis Cox,14,Rebeccatown,11,5,2,2.2
Jacob Mcmillan,10,Port Laurabury,3,2,2,1.5
Jason Jackson,13,Lauraville,1,3,3,0.3333333333333333
David Adams,13,Reyestown,10,3,2,3.3333333333333335
Karen Johnson,15,East Julia,4,3,1,1.3333333333333333
Nathan Ortiz,18,Lake Raymond,11,5,3,2.2
James Knight,18,New Michele,2,4,3,0.5
Michael Obrien,13,North Charles,7,2,3,3.5
Amy Wright,17,Wandabury,5,2,3,2.5
Carolyn Pena,18,Nashtown,6,5,3,1.2
Jason Johnson,14,North Tracyburgh,8,2,1,4.0
Jenna Stewart,14,East Tylerchester,7,4,1,1.75
Manuel Garcia,17,Lake Angelaberg,9,2,3,4.5
William Taylor,15,Christinastad,11,3,2,3.6666666666666665
Juan Garcia,14,West Kelseyton,10,3,1,3.3333333333333335
Warren Carr,13,New Dylanmouth,4,1,1,4.0
Catherine Alexander,14,Martinezbury,10,3,3,3.3333333333333335
Michael Garcia,16,Danielborough,1,5,1,0.2
Danny Aguilar,17,Hughesland,5,1,1,5.0
Timothy Johnson,16,New Gregory,8,2,1,4.0
Brian Bright,10,Nicholasmouth,3,2,1,1.5
Larry Hamilton,17,South Alanmouth,4,4,3,1.0
Matthew Gonzalez,16,North Lisa,9,1,2,9.0
Erica Perez,13,Ballberg,11,1,3,11.0
Caleb Cook,17,South Andrewstad,9,4,2,2.25
Jason Wallace,14,Port Rebecca,6,5,2,1.2
Danielle Miller,16,Johnsonport,7,3,2,2.3333333333333335
Elizabeth Conley,14,Port Christineberg,12,1,1,12.0
Melissa Whitney,15,Maryside,3,3,1,1.0
Eric Stevens,13,Smithchester,3,2,2,1.5
Kristy Johnson,18,Port Victortown,7,5,1,1.4
Thomas Terry,18,Lake Timothyborough,8,1,3,8.0
Crystal Garcia,18,North Victoriaside,12,2,3,6.0
Melissa Henderson,12,Port Dianeburgh,8,3,3,2.6666666666666665
Lauren Harris,11,New Javier,3,2,3,1.5
Jason Wall,18,North Robert,8,1,2,8.0
Scott Ruiz,14,Flemingborough,2,1,1,2.0
William Mccormick,10,New Cameronstad,7,4,1,1.75
Donald Gamble,16,Port Victorhaven,11,4,3,2.75
Gregory Beck,18,Lake Logan,12,2,1,6.0
Anthony Klein,17,Deannaside,9,5,3,1.8
Joshua Stevenson,17,South Lisaport,2,3,2,0.6666666666666666
Sarah Bowen,12,Clairebury,5,1,3,5.0
Tyler Gillespie,11,Mcguireview,10,3,1,3.3333333333333335
Mrs. Jenna Franco,18,Medinaborough,3,4,2,0.75
Tonya Graham,15,New Mark,5,4,1,1.25
Anthony Gentry,15,Jamesberg,4,1,1,4.0
Savannah Kelley,10,Normanshire,11,5,2,2.2
Phillip Strong,13,Smithchester,12,4,3,3.0
Elizabeth Pierce,12,East Vanessa,7,5,3,1.4
James Hammond DVM,13,New Jamesstad,10,1,1,10.0
Courtney Hicks,15,Riverafurt,6,1,1,6.0
Micheal Baker,17,Shelleyborough,10,4,3,2.5
Kelly Thompson,18,Kellytown,3,2,1,1.5
Michael Morgan,11,Port Kelly,2,3,3,0.6666666666666666
Debra Gill,16,East Nicholas,7,3,3,2.3333333333333335
Tammy Terry,15,Port Autumnport,5,1,1,5.0
Joe Long,12,Youngberg,1,2,2,0.5
April Fritz,16,Calvinview,6,3,3,2.0
Kristin Rodriguez,13,East Jennifer,1,4,3,0.25
Mary Stewart,14,Ramirezbury,6,1,1,6.0
Edwin Price,13,Port Henry,1,5,3,0.2
Eric Ross,14,West Emily,3,2,1,1.5
Brandon Clark,18,Georgemouth,8,1,2,8.0
Daniel Rivera,15,Kimberlyville,3,3,1,1.0
Cathy Rodriguez,11,Taylorshire,8,2,3,4.0
Bryan Robinson Jr.,12,West Carlosland,9,5,2,1.8
Douglas Dalton MD,12,Lake Valerie,2,5,2,0.4
Paul Miller,16,Jonestown,7,5,1,1.4
Valerie Ruiz,11,Smithberg,3,2,2,1.5
Jacob Lamb,11,New Alexanderville,8,5,2,1.6
Tara Kelley,11,New Kevin,3,4,2,0.75
Randy Davis,17,East Michael,9,5,3,1.8
Michael Walters,14,East Angelaport,9,3,3,3.0
Sonya Willis,14,Port Amyfort,12,4,3,3.0
Karen Roth,18,West Tiffanyborough,9,4,1,2.25
Samantha Wright,16,Port Lisa,7,5,2,1.4
David Wallace,15,New Travisburgh,7,4,2,1.75
Melissa Conley,13,Nicholasfort,2,5,3,0.4
Dwayne Frazier,12,East Mathewhaven,8,3,2,2.6666666666666665
Christine Carr,18,South Joeshire,10,5,1,2.0
Ashley Oliver,11,New Adamchester,4,5,3,0.8
Joshua Olson,18,Lake Nancy,10,1,3,10.0
Susan Gallagher,13,West Brandi,6,3,3,2.0
Frederick Dodson,14,Chenfort,8,5,3,1.6
Ronald Alexander,12,North Jillport,5,2,3,2.5
Anna Lopez,13,Johnsonchester,9,5,2,1.8
Kevin Cabrera,17,East Davidview,8,1,3,8.0
Maria Schmitt,15,Lake Jamesland,1,4,1,0.25
Amanda Olson,14,Williefort,4,1,1,4.0
Melissa Perry,11,Fernandezfort,7,1,2,7.0
Wendy Phillips,11,New Robert,11,3,2,3.6666666666666665
Janet Warren,12,Hollowaymouth,7,2,3,3.5
Taylor Jordan,11,Charlesland,4,5,1,0.8
Jeffrey Cox,17,New Cody,7,4,1,1.75
Kelly Pitts,18,Port Mark,5,2,1,2.5
Pamela Castillo,10,South Matthewview,9,4,3,2.25
Anne Atkins,13,West Jennifer,8,4,1,2.0
Brittany Johnson,11,North Alyssashire,3,1,3,3.0
John Perkins,12,New Sharon,2,5,1,0.4
John Morgan,18,Joneshaven,10,1,1,10.0
Susan King,13,Lisaborough,3,3,3,1.0
Richard Jacobs,14,Port Elizabethbury,11,4,2,2.75
Alisha Arias,14,Rosalesville,12,3,1,4.0
Alan Cook,15,East Katieville,1,3,1,0.3333333333333333
Danielle Harrington,17,South Johnfurt,9,2,2,4.5
Lisa Schmidt,14,Stacyfort,6,2,1,3.0
Edward Gomez,17,Jameschester,3,3,3,1.0
Luke Jennings,17,Roachport,11,3,1,3.6666666666666665
Patricia Wood,12,Josephland,10,3,1,3.3333333333333335
Evan King,12,Maldonadostad,5,1,3,5.0
William Rodriguez,16,West Bryan,2,2,2,1.0
Hannah Ashley,17,Lake Robintown,11,3,1,3.6666666666666665
Willie Barrett,18,Mitchellside,2,3,3,0.6666666666666666
Erin Brown,12,Port Jeffreyport,4,1,2,4.0
Samantha Bonilla,17,Patrickside,5,1,2,5.0
Timothy Gonzales,18,Kirkborough,9,3,3,3.0
Sarah Blake,14,Jonesside,9,4,1,2.25
Shannon Wilcox,13,Port Nicholasburgh,10,2,3,5.0
Charles Huff IV,16,Bowmanberg,1,4,3,0.25
Dillon Williams,17,Chelseyton,12,3,2,4.0
Morgan Martinez,13,Lake Sarahhaven,12,3,2,4.0
Kevin Wells,10,West Joshuaburgh,9,5,3,1.8
Alexis Harmon,13,Port Danielleland,1,4,3,0.25
Amy Fox,10,New Matthewside,1,2,2,0.5
Brian Hobbs,11,Josephland,8,5,3,1.6
Sarah Rhodes,13,Lake Margaretfort,7,3,2,2.3333333333333335
Dana Mason,17,Hensonchester,11,5,1,2.2
Derrick Thomas,11,Randyfurt,2,5,2,0.4
Mr. Brian Bailey,11,Johnchester,2,2,2,1.0
Tina Mccormick,11,West Brandy,8,5,1,1.6
Sarah Clark,18,Foleyport,5,4,1,1.25
Stephen Bass,14,Lake Jennaberg,8,4,1,2.0
Maria Sharp,14,Mcculloughtown,6,1,1,6.0
Larry Graham,16,Ponceside,9,3,2,3.0
Evelyn Young,14,North Matthew,11,3,3,3.6666666666666665
James Ramos,16,Hayesberg,8,4,2,2.0
Monica Munoz,14,Andrewmouth,1,5,3,0.2
Marcus Alexander,10,Fergusonview,1,2,3,0.5
Charles Smith,18,Marshmouth,5,5,3,1.0
Cheryl Lozano,16,Teresaberg,10,2,2,5.0
Ashley Chapman,11,Fullerborough,12,2,1,6.0
Matthew Ross,17,East Justin,11,2,1,5.5
Andrew Scott,18,Port Marissa,10,5,3,2.0
Sheila Love,12,Brittneyport,4,4,1,1.0
James Ochoa,10,South Cynthia,9,2,1,4.5
Evan Stewart,11,Cruzberg,4,5,3,0.8
Catherine White,16,Thomasshire,9,4,2,2.25
Zachary Martinez,11,New Brentside,10,4,3,2.5
Brenda Moran,15,Tracyberg,6,2,1,3.0
Jessica Johnson,15,Johnsonfurt,8,3,3,2.6666666666666665
Tanner Bray,11,Whitakerstad,11,3,2,3.6666666666666665
Chloe Nguyen,12,North Jeremyside,1,2,1,0.5
Lauren Huffman,12,Kimberlyside,2,2,3,1.0
Robert Owens DDS,15,Lake Phillip,2,1,3,2.0
Tiffany Swanson,16,Port Tiffany,11,1,1,11.0
Kimberly Hampton,15,Gomezbury,12,4,2,3.0
Sheila Farmer,18,New Amberview,5,1,3,5.0
Mariah Foster,15,New Nicholasstad,9,2,3,4.5
Emily Perry,13,South Julianburgh,8,1,3,8.0
Justin Johnson,10,Rachelton,7,4,2,1.75
Aaron Mills,14,Gregorytown,3,1,1,3.0
Ryan Allen,11,Elliottfort,12,3,3,4.0
Walter Joseph,12,New Shannonfort,11,4,2,2.75
Jonathan Gilbert,12,North Tiffanymouth,1,4,2,0.25
William White,16,New Taramouth,1,3,1,0.3333333333333333
James Young,18,West Samuel,2,3,1,0.6666666666666666
Marilyn Barnes,14,Mikemouth,7,5,1,1.4
Micheal Carlson,17,Patrickview,12,2,3,6.0
Todd Sims,11,Morrisfort,11,4,2,2.75
Kathleen Pena,13,Youngview,11,4,2,2.75
Steven Watkins,11,Lake Ashley,12,3,3,4.0
Angela Hampton,11,Lake Andrea,12,2,1,6.0
Claire Perry,18,Port Davidville,7,2,1,3.5
Jason Newman DVM,15,Gordonport,4,4,1,1.0
Bryan Larsen,15,Lake Larry,4,3,3,1.3333333333333333
Elijah Hall,11,Carlaside,9,2,3,4.5
April Gonzalez,15,Derekport,11,5,3,2.2
Eric Ross,15,New Paul,12,2,3,6.0
James Stuart,14,Port Jeffreybury,12,1,2,12.0
Alyssa Vazquez,12,Ericchester,7,2,1,3.5
Jacob Brown DDS,12,Vazquezmouth,10,2,2,5.0
Wayne Myers,12,Nelsonton,12,2,2,6.0
Sara Marshall MD,16,Gregorymouth,9,1,2,9.0
Janet Thompson,10,North Saraland,12,5,1,2.4
Eric Brown,13,Lisashire,7,2,2,3.5
Lisa Smith,11,North Tina,1,3,2,0.3333333333333333
William Gross,15,East Christophertown,5,2,1,2.5
Catherine Henry,13,West Lancechester,5,2,2,2.5
Tracy Miller,10,Ashleyland,4,1,3,4.0
Jasmine Bernard,11,West Emilyside,11,5,1,2.2
Thomas Simmons,17,Garcialand,5,4,2,1.25
Brian Brewer,11,Gutierrezmouth,7,2,3,3.5
Megan Carr,12,Port Nicolefurt,1,2,2,0.5
Shannon Crosby,11,Hubbardburgh,3,4,3,0.75
Brittany Chavez DDS,18,Santiagobury,1,5,2,0.2
Alan Navarro,17,North Sharonfort,1,2,3,0.5
Benjamin Myers,11,Port Nancy,2,4,3,0.5
Tracy Castro,15,East Markview,10,5,2,2.0
Emily Gonzales,10,Adamsberg,7,3,2,2.3333333333333335
Michael Ray,10,Cabreraland,10,2,1,5.0
Christine Moore,16,New Oliviaton,3,2,2,1.5
Dr. Melissa Waters,14,Lake Jeffreyborough,4,5,3,0.8
Audrey Matthews,10,North Lisa,2,3,2,0.6666666666666666
Tracy Roach,10,North Bryan,6,4,1,1.5
Michael Baker,12,West Melissa,2,4,3,0.5
Sandra Keller,17,Lake Jason,8,5,3,1.6
Sarah Boyle,16,Brownshire,4,4,3,1.0
Loretta Walters,15,Smithtown,11,5,2,2.2
Donald Morris,13,Daleport,11,4,2,2.75
Robert Barnes,17,Jenniferside,3,2,3,1.5
Justin Taylor,11,Michealport,8,3,3,2.6666666666666665
Crystal Lee,10,Frazierborough,11,4,2,2.75
Danielle Rodriguez,10,West Tammyhaven,5,1,1,5.0
Leslie Williamson DDS,12,Cruzbury,10,2,3,5.0
Donald Brown,15,Markstad,10,5,2,2.0
Stacey Woodward,13,Rodriguezmouth,2,2,1,1.0
Jared Miller,14,Lake Jacquelineland,9,4,2,2.25
Kimberly Hurley,16,Hillmouth,10,5,3,2.0
Frances Colon,12,North Jenniferfort,11,5,1,2.2
Ashley Douglas,15,Port Kendraton,9,4,2,2.25
Deborah Villarreal,13,Lake Joseph,5,2,1,2.5
Matthew Walsh,11,East Kenneth,11,3,3,3.6666666666666665
Antonio Mcpherson Jr.,10,Lake Michaelfurt,4,5,1,0.8
Danielle Barr,17,East Rebeccaport,12,2,3,6.0
Scott Mejia,18,Johnsonport,11,5,2,2.2
Christine Schwartz,17,West Deborah,11,1,1,11.0
Gabrielle Gallagher,10,Port John,1,2,1,0.5
Rebecca Bryan,11,Mitchellhaven,12,1,1,12.0
Latoya Drake,12,Port Amber,5,3,1,1.6666666666666667
Carol Jackson,17,West Michelle,10,1,3,10.0
Michelle Espinoza,11,New Eric,5,1,2,5.0
Caleb Lin,14,North Davidfurt,3,3,2,1.0
Tina Mclean,10,North Christophermouth,3,2,2,1.5
Holly Miller,18,East Ericaland,10,2,1,5.0
Brandon Wood,17,Wrightview,10,2,2,5.0
Bradley Warner,12,New Derekmouth,8,3,3,2.6666666666666665
Cindy Strong,13,Nathanielville,8,3,1,2.6666666666666665
Matthew Perez,13,New Rebecca,5,5,1,1.0
Theresa Alvarez,10,Wallacebury,10,2,1,5.0
Carmen Valentine,14,West Davidhaven,3,2,3,1.5
Charles Berg,10,South Amber,5,1,1,5.0
Lisa Nichols,16,East Elizabethtown,9,1,3,9.0
James Ford,15,Carterstad,12,2,2,6.0
Michael Graham,12,Port Abigailfort,7,5,2,1.4
Dustin Conner,11,Jamesshire,8,2,3,4.0
Angela Rivera,12,Lake John,8,2,3,4.0
Christina Brown,13,Lake Markview,2,2,1,1.0
Robert Prince,15,Port Timothyhaven,8,1,1,8.0
Sean Le,16,Maxwellburgh,8,4,2,2.0
Kristine Harrison,13,Lake Rickymouth,1,1,2,1.0
Michael Lynn,17,Sherylchester,3,3,1,1.0
Karen Bailey,13,South Robyn,4,5,2,0.8
Samuel Hardin,15,Mcclainshire,9,4,3,2.25
Andrew Perry,12,West Kelsey,4,5,3,0.8
Ian Deleon,16,Romanland,8,5,2,1.6
Jorge Reid,18,Janetville,4,5,1,0.8
Ruben Mccarthy,10,Port Michaelshire,1,2,1,0.5
Hunter Gonzalez,13,South Nathanielmouth,5,4,1,1.25
Ronald Petersen,18,Danielhaven,2,5,1,0.4
Samantha Patel,11,West Trevor,3,3,2,1.0
Jessica Powers,16,West Alan,9,5,3,1.8
Robin Rios,16,Herringchester,1,1,1,1.0
Kimberly Gardner,18,East Jacob,2,4,2,0.5
Jacqueline Rios,18,West Brianside,12,3,2,4.0
Evan Watson,15,West Tristan,2,4,3,0.5
Michael Campbell,18,North Michaelfort,2,3,2,0.6666666666666666
Cindy Maynard,18,Lake Pamelaburgh,5,5,1,1.0
Brian Ramirez,16,Jacksonburgh,2,4,1,0.5
Holly Torres PhD,15,Erinburgh,9,2,2,4.5
Kimberly Davis,10,North Paulchester,6,4,3,1.5
Scott Hernandez,18,Lake Markchester,11,2,3,5.5
Julie Taylor,17,Philipmouth,6,5,2,1.2
Perry Anderson,14,South Amanda,5,5,1,1.0
Bobby Coleman,11,Kellyberg,7,4,1,1.75
Teresa Lowe,10,South Michael,11,5,3,2.2
Andrew Harris,18,Ashleemouth,4,2,3,2.0
Steven Herrera,12,Paultown,12,2,2,6.0
Gina Walton,15,Port Diana,2,5,1,0.4
Andrea Morgan,10,East Lindsay,1,3,2,0.3333333333333333
Terri Kelly,18,East William,12,3,3,4.0
Dylan Gonzalez,16,South Jasminebury,1,5,2,0.2
Richard English,10,Robertschester,9,5,2,1.8
Stephanie Williams,16,Donovanchester,3,2,2,1.5
George Esparza,10,Parkerberg,11,5,3,2.2
Jennifer Carson,15,Smithchester,5,4,2,1.25
Laura Nicholson,17,Martinezborough,7,1,2,7.0
Karen Patterson,10,Port Mitchellhaven,1,5,3,0.2
Caroline Wilson,16,Sandersshire,5,2,3,2.5
Ryan Carrillo,13,Kellyshire,4,2,2,2.0
Timothy Dunlap,11,Guymouth,6,2,2,3.0
Bob Howard,15,Paulafort,3,4,3,0.75
Travis Lee,11,Kaylachester,1,4,1,0.25
Elizabeth Williams,18,Lorimouth,12,2,1,6.0
Kelly Howe,18,Davistown,5,4,3,1.25
John Tate,13,Spencerton,4,1,1,4.0
Austin Rice,14,Patelton,9,2,3,4.5
Robert Kelley Jr.,16,East Cheryl,3,5,1,0.6
Hannah Smith,17,Wadeborough,9,2,2,4.5
Walter Anderson,12,Schultzville,4,2,1,2.0
Melissa Smith,18,East Laurahaven,10,3,1,3.3333333333333335
Malik Johnson,15,Williamston,10,1,1,10.0
Heather Simpson,17,New Angela,8,2,1,4.0
William Phillips,15,North Jenniferfort,9,5,3,1.8
James Murphy,10,West Jennifer,12,2,2,6.0
Amy Alexander,17,Millerfurt,4,4,2,1.0
Carolyn Lopez,17,Port Jeanette,7,4,3,1.75
Heidi Baker,11,South Derrick,1,2,3,0.5
Teresa Lewis,18,Williamberg,1,4,1,0.25
Patrick Davis,10,West Randyhaven,12,1,1,12.0
Bradley Hughes III,17,North Timothy,12,1,1,12.0
Margaret Kennedy,13,South Michael,11,1,1,11.0
Theresa Garcia,16,Lake Bradleyborough,5,5,2,1.0
Tina Robinson,10,Hamiltonview,9,5,3,1.8
Darryl Ryan,11,Montesburgh,5,3,2,1.6666666666666667
Victor Mann,13,New Geraldside,3,4,2,0.75
Adrian Conrad,12,Woodview,6,1,2,6.0
Stephen White,13,Territown,6,3,2,2.0
Dr. Kaitlyn Murphy DDS,16,New Ellenland,7,5,3,1.4
Nicholas Hunt,18,Andreaville,5,2,3,2.5
Monique Bauer,14,East Alejandraland,6,2,1,3.0
Steven Richards,13,Vargasland,8,4,1,2.0
Joseph Turner,18,New Sandra,6,4,2,1.5
Russell Conway,14,Paynemouth,1,4,1,0.25
Joseph Rojas,17,Welchton,8,3,2,2.6666666666666665
Melody Johnston,16,East Brendafort,7,3,1,2.3333333333333335
Deborah Patton,15,Daniellebury,11,1,2,11.0
Robert Adams,12,New Emilyburgh,2,5,1,0.4
Rachel Rodriguez,16,West Lesliechester,5,3,2,1.6666666666666667
Erik Fisher,15,Buckleytown,1,5,3,0.2
Steven Farmer,16,East Robertview,10,4,3,2.5
Charles Rojas,16,Miguelview,6,3,3,2.0
Miss Donna Warren,15,North Edgar,7,4,3,1.75
Joshua Potter DVM,14,Port Amymouth,12,3,3,4.0
Jodi Wong,14,South Eric,10,1,2,10.0
Amy Perry,17,Ochoaland,5,3,1,1.6666666666666667
Catherine Spence,13,West Deborahmouth,11,3,3,3.6666666666666665
Gary Wright,15,Michaelshire,2,3,3,0.6666666666666666
Jonathan Manning,10,East Trevorchester,2,1,2,2.0
Courtney Walker,13,New Saraville,4,4,3,1.0
Kelly Mcbride,10,Carlosfort,10,4,1,2.5
Amanda Vance,16,Juanburgh,7,3,1,2.3333333333333335
Luis Graves,17,Katiefort,7,5,3,1.4
Natasha Daniels,16,South Carlfurt,8,4,3,2.0
Ashley Berry,14,South Nicholasland,6,1,2,6.0
Daniel Carr,12,Lake Kirsten,9,5,1,1.8
Robert Marquez,17,Port Matthew,8,5,2,1.6
Roy Harvey,13,Port Ellen,3,3,1,1.0
Margaret Wise,10,West Connieville,10,1,3,10.0
Melanie Moore,16,Danielville,3,3,2,1.0
Michael Blackburn,12,South Anthonyville,10,3,2,3.3333333333333335
Katie Parrish,18,Rebeccaburgh,2,5,1,0.4
Julie Carson,13,Port Natasha,11,1,1,11.0
Kellie Lee,18,South Nathanstad,9,1,1,9.0
Justin Bender,14,Lake Amyton,11,2,1,5.5
Melvin Wilkerson,14,West Brenda,7,1,2,7.0
Mark Monroe,10,Holttown,1,3,2,0.3333333333333333
Joseph Lawson,10,Lake Kristimouth,11,1,3,11.0
Heather Love,15,Murraystad,10,2,3,5.0
Richard Stewart,13,Harveytown,12,1,3,12.0
Manuel Moore,17,Simpsonborough,7,5,1,1.4
Renee Rodriguez,13,Port Rodney,10,4,3,2.5
Lisa Frazier,13,East Sherryhaven,6,5,2,1.2
Bernard Moore,16,Paulbury,6,3,2,2.0
Maria Aguirre,11,Port Josephmouth,9,2,2,4.5
Stacy Francis,11,Lake Samanthaview,11,3,1,3.6666666666666665
Angelica Jones,11,South Angelaview,11,3,1,3.6666666666666665
Andrew Anderson,16,South Jeffery,3,1,3,3.0
Richard Russell,16,West Christophermouth,12,1,2,12.0
John Romero,14,Amberfort,5,1,1,5.0
Travis Holt,11,New Christopher,12,1,1,12.0
Kathryn Evans,11,South James,6,5,3,1.2
William Gonzalez,18,Turnerbury,2,2,1,1.0
Paul Harris,12,Lake Logan,12,3,1,4.0
Kristen Jackson,14,West Angelamouth,3,1,3,3.0
Joseph Davis,16,Andersonville,12,1,1,12.0
Victor Rogers,16,New Michaelside,10,4,3,2.5
Robert Atkinson,17,Lake Jillside,10,4,2,2.5
Justin Gould,12,North Dannytown,9,3,3,3.0
Johnny Daniels,16,North Lisaborough,10,5,1,2.0
Audrey Oneal,11,Santanachester,4,4,3,1.0
Andrew Johnson,18,Sarahborough,9,4,2,2.25
Ryan Marshall,18,Lake Dannyberg,8,1,1,8.0
Aimee Waller,13,East Jeffreyport,5,4,3,1.25
Samantha Campos,10,Ryanmouth,8,2,1,4.0
Kyle Oneal,17,Robertfurt,8,1,2,8.0
Mark Adkins,10,East Jasontown,4,3,1,1.3333333333333333
Dr. Dylan Harrell,15,South Amber,12,5,3,2.4
Renee Anderson,10,West Jimfurt,7,2,1,3.5
Ashley Wright,18,North Lindaside,3,2,1,1.5
Kimberly Valenzuela,17,Kendraton,10,2,1,5.0
Eddie Ramos,13,South Jason,9,1,3,9.0
Kirk Lee,15,Rebeccaton,11,1,2,11.0
Sarah Rivera,17,North Thomas,12,3,3,4.0
Lisa Olson,18,Port Matthew,5,1,2,5.0
Kelly Barnes,13,Port Carrie,3,3,3,1.0
Brett Joseph,11,Port Gregory,3,5,3,0.6
Brianna Nixon,11,Smithberg,2,4,3,0.5
Angela Gilbert,13,Jessicamouth,1,1,2,1.0
Paula Huang,15,Tonyside,10,4,1,2.5
Angela Green,16,Port Heather,10,1,2,10.0
Marcus Barber,12,Johnsonburgh,6,2,3,3.0
Amy Wood,11,Lisaborough,2,5,2,0.4
Stephanie Thomas,18,West Sharonside,3,5,3,0.6
Joseph Robinson,18,Lake Williamland,5,2,2,2.5
Denise Randall,15,Powersland,11,4,1,2.75
Edward Mitchell,12,Alexandertown,3,2,3,1.5
Christopher Burgess,18,Lukeshire,5,4,1,1.25
Patrick Wallace,14,New Michaelhaven,8,1,1,8.0
Jennifer Johnson,11,Millerbury,7,4,2,1.75
Bradley Butler,14,Frederickmouth,1,2,1,0.5
Kelly Warner,18,Michaeltown,11,5,3,2.2
Christopher Shepherd,12,Port Dominiqueshire,8,1,2,8.0
Briana Jones,14,Lake Jordan,1,3,1,0.3333333333333333
Veronica Watts,14,West Nathanielmouth,1,5,3,0.2
Lonnie Warner,18,Littleberg,8,5,1,1.6
Deborah Ryan,11,Martinezshire,5,4,1,1.25
Jennifer Brown,14,Foxmouth,3,5,2,0.6
Marcus Henry,17,Sharonport,6,4,1,1.5
John Chavez,10,North Phillipbury,9,3,2,3.0
Douglas Hernandez,10,East Brenda,7,4,2,1.75
John Walton,12,Lake Maria,1,4,3,0.25
Samantha Russell,10,Brittanymouth,4,3,3,1.3333333333333333
Cody Black,14,West Alexanderton,12,5,2,2.4
Beth Nguyen,15,Lake Gregoryfort,4,2,2,2.0
Kelly Thompson,11,Port Kimberly,5,3,1,1.6666666666666667
Michael Graham,15,South Anthonyhaven,2,4,2,0.5
Christopher Harris,14,West Gregborough,3,4,2,0.75
Megan Browning,11,Port Vanessa,10,2,2,5.0
Paul Weber,18,Mitchellhaven,9,3,3,3.0
Carl Robertson,15,West Jody,3,5,2,0.6
Brenda Carter,12,South Lindabury,12,3,1,4.0
Marcus Cooley,17,Wilsonside,7,2,1,3.5
Michael Carroll,14,Rogerschester,2,1,1,2.0
Zachary Hanson,18,Baileyside,9,2,2,4.5
Linda Nelson,13,Conniemouth,10,2,1,5.0
Ruth Young,15,North Melissa,10,4,2,2.5
Gloria Schmitt,12,Caitlinville,10,2,3,5.0
Christine Martinez,16,West Kristinville,7,4,1,1.75
Dennis Trevino,14,West Melanie,12,3,2,4.0
Joshua Davis,15,North Michellefurt,7,2,2,3.5
Adam Wallace,18,Allisonside,11,4,3,2.75
Terry Conner,13,Marshberg,11,4,1,2.75
Raymond Salinas,11,South Helentown,11,1,2,11.0
Laura Carter,15,Juarezhaven,6,4,2,1.5
Matthew Rhodes,11,Lake Prestonmouth,1,4,2,0.25
Brian Hurst,10,Sandrastad,7,1,2,7.0
David Anderson,18,Amytown,3,1,3,3.0
Ann Chavez,10,Stoneland,6,4,1,1.5
Nicholas Owens,12,Aaronborough,1,5,1,0.2
Joseph Flores,14,Amberton,1,2,1,0.5
Robert Frey,16,North Hannah,9,5,2,1.8
Whitney Krueger,17,West Katherine,1,4,2,0.25
David Henson,15,West Markland,9,4,2,2.25
Michael Barnes,15,New Monicaview,7,2,3,3.5
Eric Vance,17,Karenton,9,5,3,1.8
Brian Hill,15,Stevechester,6,1,3,6.0
Heather Kaiser,16,Ortizberg,3,2,1,1.5
Benjamin Koch,17,Melindamouth,2,2,1,1.0
Mr. Darryl Anderson DDS,11,Douglasmouth,10,1,3,10.0
Jocelyn Meyers,10,Ianview,1,1,1,1.0
Corey Ortiz,17,Johnsonfurt,8,2,2,4.0
Brandon Brown,12,North Gregory,5,2,2,2.5
Tanner Taylor,15,Lake Davidville,11,4,1,2.75
Lisa Moss,10,Traceyhaven,2,2,1,1.0
Samantha Jones,13,Martinland,12,1,2,12.0
Connor Schultz,13,Denisechester,4,5,1,0.8
John Vincent,10,New Chasefurt,10,4,1,2.5
Debbie Johnson,18,East Kathrynfort,6,3,2,2.0
Thomas Shaw,17,Port Jeffreyland,6,5,3,1.2
Leslie Perry,17,South Katherineberg,12,5,1,2.4
Anthony Thompson,13,North Aliciashire,5,4,2,1.25
Michelle Cervantes,16,Ryanborough,12,5,2,2.4
